출하일자,품종대분류,품종소분류,신고소,출하량
2022-12-17,감귤류,노지온주,한림항,83.43
2022-12-17,감귤류,노지온주,애월항,0
2022-12-17,감귤류,노지온주,성산항,432.26
2022-12-17,만감류,레드향,제주공항,0.79
2022-12-17,만감류,레드향,제주항,10.32
2022-12-17,만감류,레드향,서귀포항,0
2022-12-17,만감류,레드향,한림항,0.81
2022-12-17,만감류,레드향,애월항,0
2022-12-17,만감류,레드향,성산항,16.54
2022-12-17,만감류,천혜향,제주공항,0
2022-12-17,만감류,천혜향,제주항,0.91
2022-12-17,만감류,천혜향,서귀포항,0
2022-12-17,만감류,천혜향,한림항,0
2022-12-17,만감류,천혜향,애월항,0
2022-12-17,만감류,천혜향,성산항,7.37
2022-12-17,만감류,한라봉,제주공항,0.15
2022-12-17,만감류,한라봉,제주항,7.09
2022-12-17,만감류,한라봉,서귀포항,0
2022-12-17,만감류,한라봉,한림항,0.36
2022-12-17,만감류,한라봉,애월항,0
2022-12-17,만감류,한라봉,성산항,20.52
2022-12-18,감귤류,노지온주,제주공항,58.48
2022-12-18,감귤류,노지온주,제주항,"1,016.62"
2022-12-18,감귤류,노지온주,서귀포항,0
2022-12-18,감귤류,노지온주,한림항,64.82
2022-12-18,감귤류,노지온주,애월항,0
2022-12-18,감귤류,노지온주,성산항,250.3
2022-12-18,만감류,레드향,제주공항,2.04
2022-12-18,만감류,레드향,제주항,9.4
2022-12-18,만감류,레드향,서귀포항,0
2022-12-18,만감류,레드향,한림항,0
2022-12-18,만감류,레드향,애월항,0
2022-12-18,만감류,레드향,성산항,10.53
2022-12-18,만감류,천혜향,제주공항,1.42
2022-12-18,만감류,천혜향,제주항,0.42
2022-12-18,만감류,천혜향,서귀포항,0
2022-12-18,만감류,천혜향,한림항,0
2022-12-18,만감류,천혜향,애월항,0
2022-12-18,만감류,천혜향,성산항,2.2
2022-12-18,만감류,한라봉,제주공항,0.73
2022-12-18,만감류,한라봉,제주항,13.23
2022-12-18,만감류,한라봉,서귀포항,0
2022-12-18,만감류,한라봉,한림항,1.94
2022-12-18,만감류,한라봉,애월항,0
2022-12-18,만감류,한라봉,성산항,9.85
2022-12-19,감귤류,노지온주,제주공항,18.3
2022-12-19,감귤류,노지온주,제주항,"1,309.10"
2022-12-19,감귤류,노지온주,서귀포항,0
2022-12-19,감귤류,노지온주,한림항,36.93
2022-12-19,감귤류,노지온주,애월항,0
2022-12-19,감귤류,노지온주,성산항,411.2
2022-12-19,만감류,레드향,제주공항,1.05
2022-12-19,만감류,레드향,제주항,12.3
2022-12-19,만감류,레드향,서귀포항,0
2022-12-19,만감류,레드향,한림항,1.63
2022-12-19,만감류,레드향,애월항,0
2022-12-19,만감류,레드향,성산항,16.43
2022-12-19,만감류,천혜향,제주공항,0
2022-12-19,만감류,천혜향,제주항,2.26
2022-12-19,만감류,천혜향,서귀포항,0
2022-12-19,만감류,천혜향,한림항,0
2022-12-19,만감류,천혜향,애월항,0
2022-12-19,만감류,천혜향,성산항,1.56
2022-12-19,만감류,한라봉,제주공항,3.91
2022-12-19,만감류,한라봉,제주항,16.99
2022-12-19,만감류,한라봉,서귀포항,0
2022-12-19,만감류,한라봉,한림항,0.97
2022-12-19,만감류,한라봉,애월항,0
2022-12-19,만감류,한라봉,성산항,17.03
2022-12-20,감귤류,노지온주,제주공항,7.83
2022-12-20,감귤류,노지온주,제주항,"1,944.05"
2022-12-20,감귤류,노지온주,서귀포항,0
